1616152620	_	_	28.29499685313158	23.475866058675813
1616180984.0	120.52802134077092	120.52802134077092	_	_
1616200843.0	122.0062513116973	121.02125213868182	_	_
1616219144.0	120.52948376357723	125.35230336954592	_	_
1616237856.0	130.0033539208859	125.14432354936262	_	_
1616258811.0	133.6944065107982	125.33344138538003	_	_
1616280576.0	122.69536464308015	124.6619047990453	_	_
1616301317.0	126.55338335472858	125.4697433003216	_	_
1616323686.0	123.1863887097395	126.8405687912607	_	_
1616349100.0	128.8043189131424	127.54184196989365	_	_
1616370755.0	129.11109977317074	128.9075996687505	_	_
1616393470.0	114.1688805479072	129.40550650818327	_	_
1616413914.0	124.76175882410284	129.65887501303132	_	_
1616435529.0	135.06395129057947	131.1004294093271	_	_
1616457159.0	141.8226087435112	131.57150504958165	_	_
1616478798.0	129.67926022121853	132.40657136643307	_	_
1616500290.0	133.57318770301208	132.94820535203897	_	_
1616521891.0	132.0295939162696	134.38872411955452	_	_
1616543518.0	130.49364617201192	135.98494145196307	_	_
1616565143.0	150.53943404605553	137.06220124111326	_	_
1616608251.0	129.98825128999368	137.88145864226055	_	_
1616629932.0	126.8202529038104	139.72059193656295	_	_
1616652864.0	147.91901729319721	141.347073464739	_	_
1616673107.0	138.95379108572197	142.33485047703005	_	_
1616696070.0	149.56066653097537	143.80336154520373	_	_
1616716314.0	132.98641036959214	145.4388412406349	_	_
1616739054.0	153.9232399375241	147.28026134806336	_	_
1616757420	_	_	28.29499685313158	23.475866058675813
1616757420	_	_	42.16400802024407	28.33164421199166
1616759548.0	153.5145180255023	148.8230181939025	_	_
1616802776.0	149.2722549069959	150.7414033368664	_	_
1616824459.0	144.6769903949693	151.9390868737001	_	_
1616845933.0	149.11241313965283	153.85852342653678	_	_
1616882020.0	155.6649078594473	155.70440118513167	_	_
1616902596.0	153.83171452410963	156.81183784824643	_	_
1616923011.0	169.72431903881088	158.42775048434964	_	_
1616943336.0	160.7533744344109	159.7690817327987	_	_
1616975546.0	168.56016974415326	162.4247183652858	_	_
1617018737.0	161.34197398721292	163.91812514609285	_	_
1617061908.0	166.94296388832578	166.2753767995276	_	_
1617084468.0	173.29542124589523	168.43227134985193	_	_
1617105107.0	166.45754579389123	171.44838040622022	_	_
1617126746.0	161.89193031711312	172.42961786870467	_	_
1617148652.0	168.96031389237694	173.46885655445232	_	_
1617169965.0	169.65613117168303	175.15640671705066	_	_
1617192475.0	175.04596025150798	176.25346351518183	_	_
1617213073.0	183.44350638684747	178.76015079234435	_	_
1617234719.0	182.29796877285804	179.55839421276687	_	_
1617256341.0	198.30229944076265	183.89190378858802	_	_
1617278324.0	190.25325136315863	185.8467151597764	_	_
1617299568.0	201.98306246596684	186.94675003036377	_	_
1617342688.0	167.75592492685752	188.67963924176718	_	_
1617362220	_	_	42.16400802024407	28.33164421199166
